experiment,workload,sweep,value,trace,config.cpu.frequency_ghz,config.cpu.issue_width,config.cpu.base_cpi,config.cpu.mshrs,config.l1.size_kb,config.l1.line_size,config.l1.associativity,config.l1.latency_cycles,config.memory.latency_cycles,config.memory.bandwidth_gbps,instructions,cycles,ipc,cpi,seconds,memory_instructions,dependent_loads,l1.accesses,l1.hits,l1.misses,l1.hit_rate,l1.writebacks,l1.writebacks_in,memory.reads,memory.writes,memory.bytes_read,memory.bytes_written,memory.queue_delay_cycles,average_memory_latency,average_outstanding_misses,achieved_bandwidth_gbps,bandwidth_utilization,compute_cycles,stall_cycles.l1,stall_cycles.l2,stall_cycles.dram,stall_cycles.bandwidth,stall_cycles.mshr,stall_cycles.total,stall_fraction,bottleneck.name,bottleneck.detail,bottleneck.suggestions,simulator.records,simulator.wall_seconds,simulator.records_per_second,stall_share.l1,stall_share.l2,stall_share.dram,stall_share.bandwidth,stall_share.mshr,stall_share.compute
associativity_l1_only,sequential,l1.associativity,1,/workspace/traces/sequential.trace,3.5,4,0,16,32,64,1,4,180,50,4000000,1437648,2.782322237,0.359412,0.0004107565714,1000000,0,1000000,875000,125000,0.875,0,0,125000,0,8000000,0,0,26.5,15.99835287,19.47625566,0.3895251132,1000000,0,0,176,0,437472,437648,0.3044194406,Memory-level parallelism,Waiting for a free MSHR costs 30% of cycles: the misses are independent but too few can be in flight at once.,Increase cpu.mshrs; Reduce memory.latency_cycles to shorten MSHR occupancy; Improve locality so fewer misses need to be tracked,2000000,0.028387054,70454651.62,0.0,0.0,0.00012242217844701903,0.0,0.3042970184634904,0.6955805593580626
associativity_l1_only,sequential,l1.associativity,2,/workspace/traces/sequential.trace,3.5,4,0,16,32,64,2,4,180,50,4000000,1437648,2.782322237,0.359412,0.0004107565714,1000000,0,1000000,875000,125000,0.875,0,0,125000,0,8000000,0,0,26.5,15.99835287,19.47625566,0.3895251132,1000000,0,0,176,0,437472,437648,0.3044194406,Memory-level parallelism,Waiting for a free MSHR costs 30% of cycles: the misses are independent but too few can be in flight at once.,Increase cpu.mshrs; Reduce memory.latency_cycles to shorten MSHR occupancy; Improve locality so fewer misses need to be tracked,2000000,0.028565154,70015376.08,0.0,0.0,0.00012242217844701903,0.0,0.3042970184634904,0.6955805593580626
associativity_l1_only,sequential,l1.associativity,4,/workspace/traces/sequential.trace,3.5,4,0,16,32,64,4,4,180,50,4000000,1437648,2.782322237,0.359412,0.0004107565714,1000000,0,1000000,875000,125000,0.875,0,0,125000,0,8000000,0,0,26.5,15.99835287,19.47625566,0.3895251132,1000000,0,0,176,0,437472,437648,0.3044194406,Memory-level parallelism,Waiting for a free MSHR costs 30% of cycles: the misses are independent but too few can be in flight at once.,Increase cpu.mshrs; Reduce memory.latency_cycles to shorten MSHR occupancy; Improve locality so fewer misses need to be tracked,2000000,0.02833569,70582364.5,0.0,0.0,0.00012242217844701903,0.0,0.3042970184634904,0.6955805593580626
associativity_l1_only,sequential,l1.associativity,8,/workspace/traces/sequential.trace,3.5,4,0,16,32,64,8,4,180,50,4000000,1437648,2.782322237,0.359412,0.0004107565714,1000000,0,1000000,875000,125000,0.875,0,0,125000,0,8000000,0,0,26.5,15.99835287,19.47625566,0.3895251132,1000000,0,0,176,0,437472,437648,0.3044194406,Memory-level parallelism,Waiting for a free MSHR costs 30% of cycles: the misses are independent but too few can be in flight at once.,Increase cpu.mshrs; Reduce memory.latency_cycles to shorten MSHR occupancy; Improve locality so fewer misses need to be tracked,2000000,0.029986471,66696744.68,0.0,0.0,0.00012242217844701903,0.0,0.3042970184634904,0.6955805593580626
associativity_l1_only,sequential,l1.associativity,16,/workspace/traces/sequential.trace,3.5,4,0,16,32,64,16,4,180,50,4000000,1437648,2.782322237,0.359412,0.0004107565714,1000000,0,1000000,875000,125000,0.875,0,0,125000,0,8000000,0,0,26.5,15.99835287,19.47625566,0.3895251132,1000000,0,0,176,0,437472,437648,0.3044194406,Memory-level parallelism,Waiting for a free MSHR costs 30% of cycles: the misses are independent but too few can be in flight at once.,Increase cpu.mshrs; Reduce memory.latency_cycles to shorten MSHR occupancy; Improve locality so fewer misses need to be tracked,2000000,0.032074371,62355080.95,0.0,0.0,0.00012242217844701903,0.0,0.3042970184634904,0.6955805593580626
associativity_l1_only,sequential,l1.associativity,32,/workspace/traces/sequential.trace,3.5,4,0,16,32,64,32,4,180,50,4000000,1437648,2.782322237,0.359412,0.0004107565714,1000000,0,1000000,875000,125000,0.875,0,0,125000,0,8000000,0,0,26.5,15.99835287,19.47625566,0.3895251132,1000000,0,0,176,0,437472,437648,0.3044194406,Memory-level parallelism,Waiting for a free MSHR costs 30% of cycles: the misses are independent but too few can be in flight at once.,Increase cpu.mshrs; Reduce memory.latency_cycles to shorten MSHR occupancy; Improve locality so fewer misses need to be tracked,2000000,0.036452612,54865752.83,0.0,0.0,0.00012242217844701903,0.0,0.3042970184634904,0.6955805593580626
associativity_l1_only,random_access,l1.associativity,1,/workspace/traces/random_access.trace,3.5,4,0,16,32,64,1,4,180,50,10000000,11561315,0.8649535109,1.1561315,0.003303232857,1000000,0,1000000,4041,995959,0.004041,0,0,995959,0,63741376,0,1262118,184.534738,15.95999884,19.29666444,0.3859332887,2500000,0,0,183,9576,9051556,9061315,0.7837616223,Memory-level parallelism,Waiting for a free MSHR costs 78% of cycles: the misses are independent but too few can be in flight at once.,Increase cpu.mshrs; Reduce memory.latency_cycles to shorten MSHR occupancy; Improve locality so fewer misses need to be tracked,2000000,0.060270045,33183980.53,0.0,0.0,1.5828649249674454e-05,0.0008282794820485386,0.7829175141409087,0.21623837772779309
associativity_l1_only,random_access,l1.associativity,2,/workspace/traces/random_access.trace,3.5,4,0,16,32,64,2,4,180,50,10000000,11560401,0.8650218967,1.1560401,0.003302971714,1000000,0,1000000,4094,995906,0.004094,0,0,995906,0,63737984,0,1256502,184.519582,15.95993132,19.29716313,0.3859432627,2500000,0,0,182,9963,9050256,9060401,0.7837445258,Memory-level parallelism,Waiting for a free MSHR costs 78% of cycles: the misses are independent but too few can be in flight at once.,Increase cpu.mshrs; Reduce memory.latency_cycles to shorten MSHR occupancy; Improve locality so fewer misses need to be tracked,2000000,0.06104777,32761229.44,0.0,0.0,1.574339852051845e-05,0.0008618213157138753,0.7828669611028198,0.21625547418294572
associativity_l1_only,random_access,l1.associativity,4,/workspace/traces/random_access.trace,3.5,4,0,16,32,64,4,4,180,50,10000000,11562441,0.864869278,1.1562441,0.003303554571,1000000,0,1000000,4104,995896,0.004104,0,0,995896,0,63737344,0,1284137,184.545417,15.95934639,19.29356474,0.3858712948,2500000,0,0,181,9971,9052289,9062441,0.7837826805,Memory-level parallelism,Waiting for a free MSHR costs 78% of cycles: the misses are independent but too few can be in flight at once.,Increase cpu.mshrs; Reduce memory.latency_cycles to shorten MSHR occupancy; Improve locality so fewer misses need to be tracked,2000000,0.062633543,31931771.77,0.0,0.0,1.565413393244558e-05,0.000862361157129364,0.7829046652000213,0.21621731950891684
associativity_l1_only,random_access,l1.associativity,8,/workspace/traces/random_access.trace,3.5,4,0,16,32,64,8,4,180,50,10000000,11560788,0.8649929399,1.1560788,0.003303082286,1000000,0,1000000,4075,995925,0.004075,0,0,995925,0,63739200,0,1254996,184.521496,15.95956919,19.2968853,0.385937706,2500000,0,0,181,9134,9051473,9060788,0.783751765,Memory-level parallelism,Waiting for a free MSHR costs 78% of cycles: the misses are independent but too few can be in flight at once.,Increase cpu.mshrs; Reduce memory.latency_cycles to shorten MSHR occupancy; Improve locality so fewer misses need to be tracked,2000000,0.064803856,30862361.03,0.0,0.0,1.565637221269e-05,0.000790084551329892,0.7829460240945514,0.21624823498190607
