experiment,workload,sweep,value,trace,config.cpu.frequency_ghz,config.cpu.issue_width,config.cpu.base_cpi,config.cpu.mshrs,config.l1.size_kb,config.l1.line_size,config.l1.associativity,config.l1.latency_cycles,config.l2.size_kb,config.l2.line_size,config.l2.associativity,config.l2.latency_cycles,config.memory.latency_cycles,config.memory.bandwidth_gbps,instructions,cycles,ipc,cpi,seconds,memory_instructions,dependent_loads,l1.accesses,l1.hits,l1.misses,l1.hit_rate,l1.writebacks,l1.writebacks_in,l2.accesses,l2.hits,l2.misses,l2.hit_rate,l2.writebacks,l2.writebacks_in,memory.reads,memory.writes,memory.bytes_read,memory.bytes_written,memory.queue_delay_cycles,average_memory_latency,average_outstanding_misses,achieved_bandwidth_gbps,bandwidth_utilization,compute_cycles,stall_cycles.l1,stall_cycles.l2,stall_cycles.dram,stall_cycles.bandwidth,stall_cycles.mshr,stall_cycles.total,stall_fraction,bottleneck.name,bottleneck.detail,bottleneck.suggestions,stall_share.l1,stall_share.l2,stall_share.dram,stall_share.bandwidth,stall_share.mshr,stall_share.compute
l1_capacity_latency,sequential,l1.size_kb,8,/workspace/traces/sequential.trace,3.5,4,0,16,8,64,8,2,512,64,8,12,180,50,4000000,1515778,2.638908864,0.3789445,0.0004330794286,1000000,0,1000000,875000,125000,0.875,0,0,125000,0,125000,0.0,0,0,125000,0,8000000,0,0,26.0,15.99838499,18.47236205,0.369447241,1000000,0,0,186,0,515592,515778,0.340272784,Memory-level parallelism,Waiting for a free MSHR costs 34% of cycles: the misses are independent but too few can be in flight at once.,Increase cpu.mshrs; Reduce memory.latency_cycles to shorten MSHR occupancy; Improve locality so fewer misses need to be tracked,0.0,0.0,0.0001227092621742762,0.0,0.3401500747470936,0.6597272159907321
l1_capacity_latency,sequential,l1.size_kb,16,/workspace/traces/sequential.trace,3.5,4,0,16,16,64,8,3,512,64,8,12,180,50,4000000,1523591,2.625376495,0.38089775,0.0004353117143,1000000,0,1000000,875000,125000,0.875,0,0,125000,0,125000,0.0,0,0,125000,0,8000000,0,0,27.0,15.99838802,18.37763547,0.3675527094,1000000,0,0,187,0,523404,523591,0.3436558762,Memory-level parallelism,Waiting for a free MSHR costs 34% of cycles: the misses are independent but too few can be in flight at once.,Increase cpu.mshrs; Reduce memory.latency_cycles to shorten MSHR occupancy; Improve locality so fewer misses need to be tracked,0.0,0.0,0.00012273635115985851,0.0,0.34353313979932937,0.6563441238495108
l1_capacity_latency,sequential,l1.size_kb,32,/workspace/traces/sequential.trace,3.5,4,0,16,32,64,8,4,512,64,8,12,180,50,4000000,1531404,2.611982207,0.382851,0.000437544,1000000,0,1000000,875000,125000,0.875,0,0,125000,0,125000,0.0,0,0,125000,0,8000000,0,0,28.0,15.99839102,18.28387545,0.365677509,1000000,0,0,188,0,531216,531404,0.3470044482,Memory-level parallelism,Waiting for a free MSHR costs 34% of cycles: the misses are independent but too few can be in flight at once.,Increase cpu.mshrs; Reduce memory.latency_cycles to shorten MSHR occupancy; Improve locality so fewer misses need to be tracked,0.0,0.0,0.00012276316373732862,0.0,0.3468816850419615,0.6529955517943011
l1_capacity_latency,sequential,l1.size_kb,64,/workspace/traces/sequential.trace,3.5,4,0,16,64,64,8,6,512,64,8,12,180,50,4000000,1547030,2.585599504,0.3867575,0.0004420085714,1000000,0,1000000,875000,125000,0.875,0,0,125000,0,125000,0.0,0,0,125000,0,8000000,0,0,30.0,15.99839693,18.09919652,0.3619839305,1000000,0,0,190,0,546840,547030,0.3536001241,Memory-level parallelism,Waiting for a free MSHR costs 35% of cycles: the misses are independent but too few can be in flight at once.,Increase cpu.mshrs; Reduce memory.latency_cycles to shorten MSHR occupancy; Improve locality so fewer misses need to be tracked,0.0,0.0,0.00012281597641933254,0.0,0.35347730813235684,0.6463998758912238
l1_capacity_latency,sequential,l1.size_kb,128,/workspace/traces/sequential.trace,3.5,4,0,16,128,64,8,8,512,64,8,12,180,50,4000000,1562656,2.559744435,0.390664,0.0004464731429,1000000,0,1000000,875000,125000,0.875,0,0,125000,0,125000,0.0,0,0,125000,0,8000000,0,0,32.0,15.99840272,17.91821105,0.3583642209,1000000,0,0,192,0,562464,562656,0.3600638912,Memory-level parallelism,Waiting for a free MSHR costs 35% of cycles: the misses are independent but too few can be in flight at once.,Increase cpu.mshrs; Reduce memory.latency_cycles to shorten MSHR occupancy; Improve locality so fewer misses need to be tracked,0.0,0.0,0.00012286773288554872,0.0,0.35994102348821494,0.6399361087788995
l1_capacity_latency,sequential,l1.size_kb,256,/workspace/traces/sequential.trace,3.5,4,0,16,256,64,8,11,512,64,8,12,180,50,4000000,1586095,2.521917035,0.39652375,0.00045317,1000000,0,1000000,875000,125000,0.875,0,0,125000,0,125000,0.0,0,0,125000,0,8000000,0,0,35.0,15.99841119,17.65341925,0.3530683849,1000000,0,0,195,0,585900,586095,0.3695207412,Memory-level parallelism,Waiting for a free MSHR costs 36% of cycles: the misses are independent but too few can be in flight at once.,Increase cpu.mshrs; Reduce memory.latency_cycles to shorten MSHR occupancy; Improve locality so fewer misses need to be tracked,0.0,0.0,0.00012294345546767375,0.0,0.369397797735949,0.6304792588085834
l1_capacity_latency,sequential,l1.size_kb,512,/workspace/traces/sequential.trace,3.5,4,0,16,512,64,8,16,512,64,8,12,180,50,4000000,1625160,2.461296119,0.40629,0.0004643314286,1000000,0,1000000,875000,125000,0.875,0,0,125000,0,125000,0.0,0,0,125000,0,8000000,0,0,40.0,15.99842477,17.22907283,0.3445814566,1000000,0,0,200,0,624960,625160,0.3846759704,Memory-level parallelism,Waiting for a free MSHR costs 38% of cycles: the misses are independent but too few can be in flight at once.,Increase cpu.mshrs; Reduce memory.latency_cycles to shorten MSHR occupancy; Improve locality so fewer misses need to be tracked,0.0,0.0,0.00012306480592680106,0.0,0.38455290556006794,0.6153240296340052
l1_capacity_latency,sequential,l1.size_kb,1024,/workspace/traces/sequential.trace,3.5,4,0,16,1024,64,8,23,512,64,8,12,180,50,4000000,1679851,2.381163567,0.41996275,0.0004799574286,1000000,0,1000000,875000,125000,0.875,0,0,125000,0,125000,0.0,0,0,125000,0,8000000,0,0,47.0,15.99844272,16.66814497,0.3333628994,1000000,0,0,207,0,679644,679851,0.4047091081,Memory-level parallelism,Waiting for a free MSHR costs 40% of cycles: the misses are independent but too few can be in flight at once.,Increase cpu.mshrs; Reduce memory.latency_cycles to shorten MSHR occupancy; Improve locality so fewer misses need to be tracked,0.0,0.0,0.0001232252146172488,0.0,0.40458588291461567,0.5952908918707671
l1_capacity_latency,random_access,l1.size_kb,8,/workspace/traces/random_access.trace,3.5,4,0,16,8,64,8,2,512,64,8,12,180,50,10000000,11426236,0.8751788428,1.1426236,0.003264638857,1000000,0,1000000,1025,998975,0.001025,0,0,998975,64066,934909,0.06413173503,0,0,934909,0,59834176,0,409840,182.68116,15.98768921,18.32796172,0.3665592344,2500000,0,0,191,3539,8922506,8926236,0.7812052893,Memory-level parallelism,Waiting for a free MSHR costs 78% of cycles: the misses are independent but too few can be in flight at once.,Increase cpu.mshrs; Reduce memory.latency_cycles to shorten MSHR occupancy; Improve locality so fewer misses need to be tracked,0.0,0.0,1.6715915897413635e-05,0.00030972579246569035,0.7808788475925055,0.21879471069913137
l1_capacity_latency,random_access,l1.size_kb,16,/workspace/traces/random_access.trace,3.5,4,0,16,16,64,8,3,512,64,8,12,180,50,10000000,11487692,0.8704968761,1.1487692,0.003282197714,1000000,0,1000000,2024,997976,0.002024,0,0,997976,63067,934909,0.06319490649,0,0,934909,0,59834176,0,409889,183.669221,15.98781975,18.22991215,0.3645982431,2500000,0,0,192,3419,8984081,8987692,0.782375781,Memory-level parallelism,Waiting for a free MSHR costs 78% of cycles: the misses are independent but too few can be in flight at once.,Increase cpu.mshrs; Reduce memory.latency_cycles to shorten MSHR occupancy; Improve locality so fewer misses need to be tracked,0.0,0.0,1.6713540021790276e-05,0.00029762288195052584,0.7820614445443002,0.21762421903372758
