experiment,workload,sweep,value,trace,config.cpu.frequency_ghz,config.cpu.issue_width,config.cpu.base_cpi,config.cpu.mshrs,config.l1.size_kb,config.l1.line_size,config.l1.associativity,config.l1.latency_cycles,config.l2.size_kb,config.l2.line_size,config.l2.associativity,config.l2.latency_cycles,config.memory.latency_cycles,config.memory.bandwidth_gbps,instructions,cycles,ipc,cpi,seconds,memory_instructions,dependent_loads,l1.accesses,l1.hits,l1.misses,l1.hit_rate,l1.writebacks,l1.writebacks_in,l2.accesses,l2.hits,l2.misses,l2.hit_rate,l2.writebacks,l2.writebacks_in,memory.reads,memory.writes,memory.bytes_read,memory.bytes_written,memory.queue_delay_cycles,average_memory_latency,average_outstanding_misses,achieved_bandwidth_gbps,bandwidth_utilization,compute_cycles,stall_cycles.l1,stall_cycles.l2,stall_cycles.dram,stall_cycles.bandwidth,stall_cycles.mshr,stall_cycles.total,stall_fraction,bottleneck.name,bottleneck.detail,bottleneck.suggestions,simulator.records,simulator.wall_seconds,simulator.records_per_second,stall_share.l1,stall_share.l2,stall_share.dram,stall_share.bandwidth,stall_share.mshr,stall_share.compute
l2_capacity,sequential,l2.size_kb,64,/workspace/traces/sequential.trace,3.5,4,0,16,32,64,8,4,64,64,8,12,180,50,4000000,1531404,2.611982207,0.382851,0.000437544,1000000,0,1000000,875000,125000,0.875,0,0,125000,0,125000,0.0,0,0,125000,0,8000000,0,0,28.0,15.99839102,18.28387545,0.365677509,1000000,0,0,188,0,531216,531404,0.3470044482,Memory-level parallelism,Waiting for a free MSHR costs 34% of cycles: the misses are independent but too few can be in flight at once.,Increase cpu.mshrs; Reduce memory.latency_cycles to shorten MSHR occupancy; Improve locality so fewer misses need to be tracked,2000000,0.045236847,44211746.23,0.0,0.0,0.00012276316373732862,0.0,0.3468816850419615,0.6529955517943011
l2_capacity,sequential,l2.size_kb,128,/workspace/traces/sequential.trace,3.5,4,0,16,32,64,8,4,128,64,8,12,180,50,4000000,1531404,2.611982207,0.382851,0.000437544,1000000,0,1000000,875000,125000,0.875,0,0,125000,0,125000,0.0,0,0,125000,0,8000000,0,0,28.0,15.99839102,18.28387545,0.365677509,1000000,0,0,188,0,531216,531404,0.3470044482,Memory-level parallelism,Waiting for a free MSHR costs 34% of cycles: the misses are independent but too few can be in flight at once.,Increase cpu.mshrs; Reduce memory.latency_cycles to shorten MSHR occupancy; Improve locality so fewer misses need to be tracked,2000000,0.045016258,44428392.96,0.0,0.0,0.00012276316373732862,0.0,0.3468816850419615,0.6529955517943011
l2_capacity,sequential,l2.size_kb,256,/workspace/traces/sequential.trace,3.5,4,0,16,32,64,8,4,256,64,8,12,180,50,4000000,1531404,2.611982207,0.382851,0.000437544,1000000,0,1000000,875000,125000,0.875,0,0,125000,0,125000,0.0,0,0,125000,0,8000000,0,0,28.0,15.99839102,18.28387545,0.365677509,1000000,0,0,188,0,531216,531404,0.3470044482,Memory-level parallelism,Waiting for a free MSHR costs 34% of cycles: the misses are independent but too few can be in flight at once.,Increase cpu.mshrs; Reduce memory.latency_cycles to shorten MSHR occupancy; Improve locality so fewer misses need to be tracked,2000000,0.045358037,44093618.95,0.0,0.0,0.00012276316373732862,0.0,0.3468816850419615,0.6529955517943011
l2_capacity,sequential,l2.size_kb,512,/workspace/traces/sequential.trace,3.5,4,0,16,32,64,8,4,512,64,8,12,180,50,4000000,1531404,2.611982207,0.382851,0.000437544,1000000,0,1000000,875000,125000,0.875,0,0,125000,0,125000,0.0,0,0,125000,0,8000000,0,0,28.0,15.99839102,18.28387545,0.365677509,1000000,0,0,188,0,531216,531404,0.3470044482,Memory-level parallelism,Waiting for a free MSHR costs 34% of cycles: the misses are independent but too few can be in flight at once.,Increase cpu.mshrs; Reduce memory.latency_cycles to shorten MSHR occupancy; Improve locality so fewer misses need to be tracked,2000000,0.045013264,44431348.06,0.0,0.0,0.00012276316373732862,0.0,0.3468816850419615,0.6529955517943011
l2_capacity,sequential,l2.size_kb,1024,/workspace/traces/sequential.trace,3.5,4,0,16,32,64,8,4,1024,64,8,12,180,50,4000000,1531404,2.611982207,0.382851,0.000437544,1000000,0,1000000,875000,125000,0.875,0,0,125000,0,125000,0.0,0,0,125000,0,8000000,0,0,28.0,15.99839102,18.28387545,0.365677509,1000000,0,0,188,0,531216,531404,0.3470044482,Memory-level parallelism,Waiting for a free MSHR costs 34% of cycles: the misses are independent but too few can be in flight at once.,Increase cpu.mshrs; Reduce memory.latency_cycles to shorten MSHR occupancy; Improve locality so fewer misses need to be tracked,2000000,0.052418714,38154312.6,0.0,0.0,0.00012276316373732862,0.0,0.3468816850419615,0.6529955517943011
l2_capacity,sequential,l2.size_kb,2048,/workspace/traces/sequential.trace,3.5,4,0,16,32,64,8,4,2048,64,8,12,180,50,4000000,1531404,2.611982207,0.382851,0.000437544,1000000,0,1000000,875000,125000,0.875,0,0,125000,0,125000,0.0,0,0,125000,0,8000000,0,0,28.0,15.99839102,18.28387545,0.365677509,1000000,0,0,188,0,531216,531404,0.3470044482,Memory-level parallelism,Waiting for a free MSHR costs 34% of cycles: the misses are independent but too few can be in flight at once.,Increase cpu.mshrs; Reduce memory.latency_cycles to shorten MSHR occupancy; Improve locality so fewer misses need to be tracked,2000000,0.044646482,44796362.68,0.0,0.0,0.00012276316373732862,0.0,0.3468816850419615,0.6529955517943011
l2_capacity,sequential,l2.size_kb,4096,/workspace/traces/sequential.trace,3.5,4,0,16,32,64,8,4,4096,64,8,12,180,50,4000000,1531404,2.611982207,0.382851,0.000437544,1000000,0,1000000,875000,125000,0.875,0,0,125000,0,125000,0.0,0,0,125000,0,8000000,0,0,28.0,15.99839102,18.28387545,0.365677509,1000000,0,0,188,0,531216,531404,0.3470044482,Memory-level parallelism,Waiting for a free MSHR costs 34% of cycles: the misses are independent but too few can be in flight at once.,Increase cpu.mshrs; Reduce memory.latency_cycles to shorten MSHR occupancy; Improve locality so fewer misses need to be tracked,2000000,0.052581509,38036184.93,0.0,0.0,0.00012276316373732862,0.0,0.3468816850419615,0.6529955517943011
l2_capacity,random_access,l2.size_kb,64,/workspace/traces/random_access.trace,3.5,4,0,16,32,64,8,4,64,64,8,12,180,50,10000000,12249442,0.8163637168,1.2249442,0.003499840571,1000000,0,1000000,4075,995925,0.004075,0,0,995925,4134,991791,0.004150914979,0,0,991791,0,63474624,0,1087828,195.561308,15.96358495,18.13643299,0.3627286598,2500000,0,0,192,14490,9734760,9749442,0.7959090708,Memory-level parallelism,Waiting for a free MSHR costs 79% of cycles: the misses are independent but too few can be in flight at once.,Increase cpu.mshrs; Reduce memory.latency_cycles to shorten MSHR occupancy; Improve locality so fewer misses need to be tracked,2000000,0.131490001,15210282.04,0.0,0.0,1.567418336280134e-05,0.0011829110256614138,0.7947104855878333,0.20409092920314248
l2_capacity,random_access,l2.size_kb,128,/workspace/traces/random_access.trace,3.5,4,0,16,32,64,8,4,128,64,8,12,180,50,10000000,12130621,0.8243601049,1.2130621,0.003465891714,1000000,0,1000000,4075,995925,0.004075,0,0,995925,12283,983642,0.01233325803,0,0,983642,0,62953088,0,768009,193.774669,15.97266694,18.16360498,0.3632720996,2500000,0,0,193,10263,9620165,9630621,0.7939099738,Memory-level parallelism,Waiting for a free MSHR costs 79% of cycles: the misses are independent but too few can be in flight at once.,Increase cpu.mshrs; Reduce memory.latency_cycles to shorten MSHR occupancy; Improve locality so fewer misses need to be tracked,2000000,0.133090188,15027403.82,0.0,0.0,1.591015002447113e-05,0.0008460407756536125,0.7930480228506026,0.2060900262237193
l2_capacity,random_access,l2.size_kb,256,/workspace/traces/random_access.trace,3.5,4,0,16,32,64,8,4,256,64,8,12,180,50,10000000,11923230,0.8386989096,1.192323,0.003406637143,1000000,0,1000000,4075,995925,0.004075,0,0,995925,28551,967374,0.02866782137,0,0,967374,0,61911936,0,509612,190.588032,15.98323038,18.17391563,0.3634783125,2500000,0,0,193,5679,9417358,9423230,0.7903252726,Memory-level parallelism,Waiting for a free MSHR costs 78% of cycles: the misses are independent but too few can be in flight at once.,Increase cpu.mshrs; Reduce memory.latency_cycles to shorten MSHR occupancy; Improve locality so fewer misses need to be tracked,2000000,0.132988826,15038857.48,0.0,0.0,1.618688895542567e-05,0.0004762971107661263,0.7898327885983916,0.20967472740188692
l2_capacity,random_access,l2.size_kb,512,/workspace/traces/random_access.trace,3.5,4,0,16,32,64,8,4,512,64,8,12,180,50,10000000,11547938,0.8659554632,1.1547938,0.003299410857,1000000,0,1000000,4075,995925,0.004075,0,0,995925,61021,934904,0.06127067801,0,0,934904,0,59833856,0,409279,184.643099,15.98785853,18.13470907,0.3626941814,2500000,0,0,195,3443,9044300,9047938,0.7835111342,Memory-level parallelism,Waiting for a free MSHR costs 78% of cycles: the misses are independent but too few can be in flight at once.,Increase cpu.mshrs; Reduce memory.latency_cycles to shorten MSHR occupancy; Improve locality so fewer misses need to be tracked,2000000,0.131955421,15156633.85,0.0,0.0,1.6886131532746365e-05,0.00029814846598587557,0.7831960995980408,0.21648886580444057
