working_set_kb,hops,ns_per_hop,cycles_per_hop
4,8000000,1.252813375,3.0067520999999995
16,7999488,1.2524790336581542,3.00594968077957
32,7999488,1.2527012978830645,3.0064831149193547
64,7995392,2.0669763283651386,4.960743188076332
128,7995392,3.0851665559362194,7.404399734246926
256,7995392,3.549261749767866,8.518228199442879
512,7995392,4.217968674956776,10.123124819896262
1024,7995392,4.991516363425333,11.9796392722208
2048,7864320,8.888173929850261,21.331617431640627
4096,7864320,20.9505002339681,50.28120056152344
8192,7340032,28.89564745766776,69.34955389840262
16384,6291456,37.13836654027303,89.13207969665528
32768,4194304,41.3236780166626,99.17682723999023
65536,8388608,44.106128454208374,105.85470829010009
