experiment,workload,sweep,value,trace,config.cpu.frequency_ghz,config.cpu.issue_width,config.cpu.base_cpi,config.cpu.mshrs,config.l1.size_kb,config.l1.line_size,config.l1.associativity,config.l1.latency_cycles,config.l2.size_kb,config.l2.line_size,config.l2.associativity,config.l2.latency_cycles,config.memory.latency_cycles,config.memory.bandwidth_gbps,instructions,cycles,ipc,cpi,seconds,memory_instructions,dependent_loads,l1.accesses,l1.hits,l1.misses,l1.hit_rate,l1.writebacks,l1.writebacks_in,l2.accesses,l2.hits,l2.misses,l2.hit_rate,l2.writebacks,l2.writebacks_in,memory.reads,memory.writes,memory.bytes_read,memory.bytes_written,memory.queue_delay_cycles,average_memory_latency,average_outstanding_misses,achieved_bandwidth_gbps,bandwidth_utilization,compute_cycles,stall_cycles.l1,stall_cycles.l2,stall_cycles.dram,stall_cycles.bandwidth,stall_cycles.mshr,stall_cycles.total,stall_fraction,bottleneck.name,bottleneck.detail,bottleneck.suggestions,simulator.records,simulator.wall_seconds,simulator.records_per_second,stall_share.l1,stall_share.l2,stall_share.dram,stall_share.bandwidth,stall_share.mshr,stall_share.compute
line_size,sequential,l1.line_size+l2.line_size,16,/workspace/traces/sequential.trace,3.5,4,0,16,32,16,8,4,512,16,8,12,180,50,4000000,6125030,0.6530580258,1.5312575,0.001750008571,1000000,0,1000000,500000,500000,0.5,0,0,500000,0,500000,0.0,0,0,500000,0,8000000,0,0,100.0,15.99992163,4.571406181,0.09142812362,1000000,0,0,194,0,5124836,5125030,0.8367354935,Memory-level parallelism,Waiting for a free MSHR costs 83% of cycles: the misses are independent but too few can be in flight at once.,Increase cpu.mshrs; Reduce memory.latency_cycles to shorten MSHR occupancy; Improve locality so fewer misses need to be tracked,2000000,0.041407616,48300293.36,0.0,0.0,3.167331425315468e-05,0.0,0.8367038202261866,0.1632645064595602
line_size,sequential,l1.line_size+l2.line_size,32,/workspace/traces/sequential.trace,3.5,4,0,16,32,32,8,4,512,32,8,12,180,50,4000000,3062560,1.30609686,0.76564,0.0008750171429,1000000,0,1000000,750000,250000,0.75,0,0,250000,0,250000,0.0,0,0,250000,0,8000000,0,0,52.0,15.99968654,9.142678021,0.1828535604,1000000,0,0,192,0,2062368,2062560,0.673475785,Memory-level parallelism,Waiting for a free MSHR costs 67% of cycles: the misses are independent but too few can be in flight at once.,Increase cpu.mshrs; Reduce memory.latency_cycles to shorten MSHR occupancy; Improve locality so fewer misses need to be tracked,2000000,0.035213793,56795926.53,0.0,0.0,6.269264928687111e-05,0.0,0.6734130923149261,0.32652421503578705
line_size,sequential,l1.line_size+l2.line_size,64,/workspace/traces/sequential.trace,3.5,4,0,16,32,64,8,4,512,64,8,12,180,50,4000000,1531404,2.611982207,0.382851,0.000437544,1000000,0,1000000,875000,125000,0.875,0,0,125000,0,125000,0.0,0,0,125000,0,8000000,0,0,28.0,15.99839102,18.28387545,0.365677509,1000000,0,0,188,0,531216,531404,0.3470044482,Memory-level parallelism,Waiting for a free MSHR costs 34% of cycles: the misses are independent but too few can be in flight at once.,Increase cpu.mshrs; Reduce memory.latency_cycles to shorten MSHR occupancy; Improve locality so fewer misses need to be tracked,2000000,0.032286133,61946099.27,0.0,0.0,0.00012276316373732862,0.0,0.3468816850419615,0.6529955517943011
line_size,sequential,l1.line_size+l2.line_size,128,/workspace/traces/sequential.trace,3.5,4,0,16,32,128,8,4,512,128,8,12,180,50,4000000,1000180,3.99928013,0.250045,0.0002857657143,1000000,0,1000000,937500,62500,0.9375,0,0,62500,0,62500,0.0,0,0,62500,0,8000000,0,0,16.0,12.2477954,27.99496091,0.5598992181,1000000,0,0,180,0,0,180,0.0001799676058,Compute,Memory stalls account for only 0% of cycles; the machine is limited by instruction issue.,Increase cpu.issue_width; Reduce the instruction count (vectorise the inner loop),2000000,0.02936095,68117686.93,0.0,0.0,0.00017996760583095044,0.0,0.0,0.9998200323941691
line_size,sequential,l1.line_size+l2.line_size,256,/workspace/traces/sequential.trace,3.5,4,0,16,32,256,8,4,512,256,8,12,180,50,4000000,1000164,3.999344108,0.250041,0.0002857611429,1000000,0,1000000,968750,31250,0.96875,0,0,31250,0,31250,0.0,0,0,31250,0,8000000,0,0,10.0,6.123995665,27.99540875,0.5599081751,1000000,0,0,164,0,0,164,0.0001639731084,Compute,Memory stalls account for only 0% of cycles; the machine is limited by instruction issue.,Increase cpu.issue_width; Reduce the instruction count (vectorise the inner loop),2000000,0.0438444,45615859.72,0.0,0.0,0.00016397310841022073,0.0,0.0,0.9998360268915898
line_size,random_access,l1.line_size+l2.line_size,16,/workspace/traces/random_access.trace,3.5,4,0,16,32,16,8,4,512,16,8,12,180,50,10000000,11529575,0.8673346589,1.1529575,0.003294164286,1000000,0,1000000,3990,996010,0.00399,0,0,996010,59892,936118,0.06013192639,0,0,936118,0,14977888,0,0,184.45336,15.99689494,4.546794483,0.09093588966,2500000,0,0,193,0,9029382,9029575,0.7831663353,Memory-level parallelism,Waiting for a free MSHR costs 78% of cycles: the misses are independent but too few can be in flight at once.,Increase cpu.mshrs; Reduce memory.latency_cycles to shorten MSHR occupancy; Improve locality so fewer misses need to be tracked,2000000,0.075293478,26562725.66,0.0,0.0,1.673955891695921e-05,0.0,0.7831495957136321,0.21683366472745091
line_size,random_access,l1.line_size+l2.line_size,32,/workspace/traces/random_access.trace,3.5,4,0,16,32,32,8,4,512,32,8,12,180,50,10000000,11522766,0.8678471818,1.1522766,0.003292218857,1000000,0,1000000,4112,995888,0.004112,0,0,995888,60370,935518,0.06061926642,0,0,935518,0,29936576,0,0,184.343896,15.99680563,9.09313059,0.1818626118,2500000,0,0,193,0,9022573,9022766,0.7830382045,Memory-level parallelism,Waiting for a free MSHR costs 78% of cycles: the misses are independent but too few can be in flight at once.,Increase cpu.mshrs; Reduce memory.latency_cycles to shorten MSHR occupancy; Improve locality so fewer misses need to be tracked,2000000,0.085400984,23418933.91,0.0,0.0,1.6749450609341543e-05,0.0,0.7830214550915987,0.21696179545779198
line_size,random_access,l1.line_size+l2.line_size,64,/workspace/traces/random_access.trace,3.5,4,0,16,32,64,8,4,512,64,8,12,180,50,10000000,11547938,0.8659554632,1.1547938,0.003299410857,1000000,0,1000000,4075,995925,0.004075,0,0,995925,61021,934904,0.06127067801,0,0,934904,0,59833856,0,409279,184.643099,15.98785853,18.13470907,0.3626941814,2500000,0,0,195,3356,9044387,9047938,0.7835111342,Memory-level parallelism,Waiting for a free MSHR costs 78% of cycles: the misses are independent but too few can be in flight at once.,Increase cpu.mshrs; Reduce memory.latency_cycles to shorten MSHR occupancy; Improve locality so fewer misses need to be tracked,2000000,0.079533886,25146514.28,0.0,0.0,1.6886131532746365e-05,0.00029061465345588106,0.7832036334105708,0.21648886580444057
line_size,random_access,l1.line_size+l2.line_size,128,/workspace/traces/random_access.trace,3.5,4,0,16,32,128,8,4,512,128,8,12,180,50,10000000,11714151,0.8536683538,1.1714151,0.003346900286,1000000,0,1000000,4055,995945,0.004055,0,0,995945,61209,934736,0.06145821305,0,0,934736,0,119646208,0,3042604,187.246424,15.98325,35.7483635,0.7149672699,2500000,0,0,194,86453,9127504,9214151,0.7865829116,Memory-level parallelism,Waiting for a free MSHR costs 77% of cycles: the misses are independent but too few can be in flight at once.,Increase cpu.mshrs; Reduce memory.latency_cycles to shorten MSHR occupancy; Improve locality so fewer misses need to be tracked,2000000,0.080117915,24963205.79,0.0,0.0,1.6561166063165826e-05,0.00738021901886018,0.7791861313722181,0.21341708844285856
line_size,random_access,l1.line_size+l2.line_size,256,/workspace/traces/random_access.trace,3.5,4,0,16,32,256,8,4,512,256,8,12,180,50,10000000,16746922,0.5971246537,1.6746922,0.004784834857,1000000,0,1000000,4087,995913,0.004087,0,0,995913,61386,934527,0.06163791416,0,0,934527,0,239238912,0,83674365,267.840181,15.99242135,49.99940837,0.9999881674,2500000,0,0,199,4290452,9956271,14246922,0.8507188366,DRAM bandwidth,"DRAM is delivering 99% of its configured bandwidth, so requests are queueing behind the bus.",Increase memory.bandwidth_gbps; Reduce DRAM traffic by improving locality (blocking/tiling); Increase last-level cache capacity to filter traffic,2000000,0.075085229,26636397.42,0.0,0.0,1.1882780608878456e-05,0.256193466477004,0.5945134873142659,0.1492811634281213
line_size,pointer_chase,l1.line_size+l2.line_size,16,/workspace/traces/pointer_chase.trace,3.5,4,0,16,32,16,8,4,512,16,8,12,180,50,3000000,190825516,0.01572116802,63.60850533,0.054521576,1000000,1000000,1000000,2022,997978,0.002022,0,0,997978,30757,967221,0.03081931666,0,0,967221,0,15475536,0,0,190.075516,0.9960273237,0.2838424186,0.005676848373,750000,8088,492112,189575316,0,0,190075516,0.996069708,DRAM latency,"Waiting for DRAM costs 99% of cycles and the bus is not saturated, so the exposed latency is the problem.",Increase l2.size_kb to keep the working set on chip; Reduce memory.latency_cycles; Increase cpu.mshrs if the misses are independent,2000000,0.077367264,25850726.74,4.238426898843025e-05,0.002578858479282194,0.9934484652461257,0.0,0.0,0.003930292005603695
line_size,pointer_chase,l1.line_size+l2.line_size,32,/workspace/traces/pointer_chase.trace,3.5,4,0,16,32,32,8,4,512,32,8,12,180,50,3000000,187845904,0.01597053721,62.61530133,0.05367025829,1000000,1000000,1000000,3093,996907,0.003093,0,0,996907,46168,950739,0.04631124067,0,0,950739,0,30423648,0,0,187.095904,0.9959415032,0.5668623363,0.01133724673,750000,12372,738688,186344844,0,0,187095904,0.9960073657,DRAM latency,"Waiting for DRAM costs 99% of cycles and the bus is not saturated, so the exposed latency is the problem.",Increase l2.size_kb to keep the working set on chip; Reduce memory.latency_cycles; Increase cpu.mshrs if the misses are independent,2000000,0.075303697,26559121.0,6.586249546330272e-05,0.0039324147307465375,0.9920090884707287,0.0,0.0,0.0039926343030615135
line_size,pointer_chase,l1.line_size+l2.line_size,64,/workspace/traces/pointer_chase.trace,3.5,4,0,16,32,64,8,4,512,64,8,12,180,50,3000000,186299824,0.01610307479,62.09994133,0.05322852114,1000000,1000000,1000000,3638,996362,0.003638,0,0,996362,54176,942186,0.05437381193,0,0,942186,0,60299904,0,0,185.549824,0.9958961207,1.132849508,0.02265699016,750000,14552,866816,184668456,0,0,185549824,0.9959742313,DRAM latency,"Waiting for DRAM costs 99% of cycles and the bus is not saturated, so the exposed latency is the problem.",Increase l2.size_kb to keep the working set on chip; Reduce memory.latency_cycles; Increase cpu.mshrs if the misses are independent,2000000,0.074207685,26951386.5,7.811064813458976e-05,0.00465280096024138,0.9912433196930985,0.0,0.0,0.004025768698525448
line_size,pointer_chase,l1.line_size+l2.line_size,128,/workspace/traces/pointer_chase.trace,3.5,4,0,16,32,128,8,4,512,128,8,12,180,50,3000000,185626456,0.01616148939,61.87548533,0.05303613029,1000000,1000000,1000000,3817,996183,0.003817,0,0,996183,57726,938457,0.0579471844,0,0,938457,0,120122496,0,0,184.876456,0.9958773764,2.264918186,0.04529836372,750000,15268,923616,183937572,0,0,184876456,0.9959596277,DRAM latency,"Waiting for DRAM costs 99% of cycles and the bus is not saturated, so the exposed latency is the problem.",Increase l2.size_kb to keep the working set on chip; Reduce memory.latency_cycles; Increase cpu.mshrs if the misses are independent,2000000,0.074288609,26922027.84,8.225120669221848e-05,0.004975670062892328,0.990901706381767,0.0,0.0,0.004040372348648406
