experiment,workload,sweep,value,trace,config.cpu.frequency_ghz,config.cpu.issue_width,config.cpu.base_cpi,config.cpu.mshrs,config.l1.size_kb,config.l1.line_size,config.l1.associativity,config.l1.latency_cycles,config.l2.size_kb,config.l2.line_size,config.l2.associativity,config.l2.latency_cycles,config.memory.latency_cycles,config.memory.bandwidth_gbps,instructions,cycles,ipc,cpi,seconds,memory_instructions,dependent_loads,l1.accesses,l1.hits,l1.misses,l1.hit_rate,l1.writebacks,l1.writebacks_in,l2.accesses,l2.hits,l2.misses,l2.hit_rate,l2.writebacks,l2.writebacks_in,memory.reads,memory.writes,memory.bytes_read,memory.bytes_written,memory.queue_delay_cycles,average_memory_latency,average_outstanding_misses,achieved_bandwidth_gbps,bandwidth_utilization,compute_cycles,stall_cycles.l1,stall_cycles.l2,stall_cycles.dram,stall_cycles.bandwidth,stall_cycles.mshr,stall_cycles.total,stall_fraction,bottleneck.name,bottleneck.detail,bottleneck.suggestions,stall_share.l1,stall_share.l2,stall_share.dram,stall_share.bandwidth,stall_share.mshr,stall_share.compute
mlp,sequential,cpu.mshrs,1,/workspace/traces/sequential.trace,3.5,4,0,1,32,64,8,4,512,64,8,12,180,50,4000000,24500000,0.1632653061,6.125,0.007,1000000,0,1000000,875000,125000,0.875,0,0,125000,0,125000,0.0,0,0,125000,0,8000000,0,0,28.0,1.0,1.142857143,0.02285714286,1000000,0,0,188,0,23499812,23500000,0.9591836735,Memory-level parallelism,Waiting for a free MSHR costs 95% of cycles: the misses are independent but too few can be in flight at once.,Increase cpu.mshrs; Reduce memory.latency_cycles to shorten MSHR occupancy; Improve locality so fewer misses need to be tracked,0.0,0.0,7.673469387755102e-06,0.0,0.959176,0.04081632653061224
mlp,sequential,cpu.mshrs,2,/workspace/traces/sequential.trace,3.5,4,0,2,32,64,8,4,512,64,8,12,180,50,4000000,12250008,0.326530399,3.062502,0.003500002286,1000000,0,1000000,875000,125000,0.875,0,0,125000,0,125000,0.0,0,0,125000,0,8000000,0,0,28.0,1.999998694,2.285712793,0.04571425586,1000000,0,0,188,0,11249820,11250008,0.9183674002,Memory-level parallelism,Waiting for a free MSHR costs 91% of cycles: the misses are independent but too few can be in flight at once.,Increase cpu.mshrs; Reduce memory.latency_cycles to shorten MSHR occupancy; Improve locality so fewer misses need to be tracked,0.0,0.0,1.534692875302612e-05,0.0,0.918352053321108,0.08163259975013894
mlp,sequential,cpu.mshrs,4,/workspace/traces/sequential.trace,3.5,4,0,4,32,64,8,4,512,64,8,12,180,50,4000000,6125024,0.6530586656,1.531256,0.001750006857,1000000,0,1000000,875000,125000,0.875,0,0,125000,0,125000,0.0,0,0,125000,0,8000000,0,0,28.0,3.999984327,4.571410659,0.09142821318,1000000,0,0,188,0,5124836,5125024,0.8367353336,Memory-level parallelism,Waiting for a free MSHR costs 83% of cycles: the misses are independent but too few can be in flight at once.,Increase cpu.mshrs; Reduce memory.latency_cycles to shorten MSHR occupancy; Improve locality so fewer misses need to be tracked,0.0,0.0,3.069375728160412e-05,0.0,0.8367046398512071,0.16326466639151127
mlp,sequential,cpu.mshrs,8,/workspace/traces/sequential.trace,3.5,4,0,8,32,64,8,4,512,64,8,12,180,50,4000000,3062556,1.306098566,0.765639,0.000875016,1000000,0,1000000,875000,125000,0.875,0,0,125000,0,125000,0.0,0,0,125000,0,8000000,0,0,28.0,7.999853717,9.142689962,0.1828537992,1000000,0,0,188,0,2062368,2062556,0.6734753585,Memory-level parallelism,Waiting for a free MSHR costs 67% of cycles: the misses are independent but too few can be in flight at once.,Increase cpu.mshrs; Reduce memory.latency_cycles to shorten MSHR occupancy; Improve locality so fewer misses need to be tracked,0.0,0.0,6.138663260361607e-05,0.0,0.6734139718588003,0.3265246415085961
mlp,sequential,cpu.mshrs,16,/workspace/traces/sequential.trace,3.5,4,0,16,32,64,8,4,512,64,8,12,180,50,4000000,1531404,2.611982207,0.382851,0.000437544,1000000,0,1000000,875000,125000,0.875,0,0,125000,0,125000,0.0,0,0,125000,0,8000000,0,0,28.0,15.99839102,18.28387545,0.365677509,1000000,0,0,188,0,531216,531404,0.3470044482,Memory-level parallelism,Waiting for a free MSHR costs 34% of cycles: the misses are independent but too few can be in flight at once.,Increase cpu.mshrs; Reduce memory.latency_cycles to shorten MSHR occupancy; Improve locality so fewer misses need to be tracked,0.0,0.0,0.00012276316373732862,0.0,0.3468816850419615,0.6529955517943011
mlp,sequential,cpu.mshrs,32,/workspace/traces/sequential.trace,3.5,4,0,32,32,64,8,4,512,64,8,12,180,50,4000000,1000188,3.999248141,0.250047,0.000285768,1000000,0,1000000,875000,125000,0.875,0,0,125000,0,125000,0.0,0,0,125000,0,8000000,0,0,28.0,24.49539487,27.99473699,0.5598947398,1000000,0,0,188,0,0,188,0.0001879646626,Compute,Memory stalls account for only 0% of cycles; the machine is limited by instruction issue.,Increase cpu.issue_width; Reduce the instruction count (vectorise the inner loop),0.0,0.0,0.00018796466264342303,0.0,0.0,0.9998120353373566
mlp,sequential,cpu.mshrs,64,/workspace/traces/sequential.trace,3.5,4,0,64,32,64,8,4,512,64,8,12,180,50,4000000,1000188,3.999248141,0.250047,0.000285768,1000000,0,1000000,875000,125000,0.875,0,0,125000,0,125000,0.0,0,0,125000,0,8000000,0,0,28.0,24.49539487,27.99473699,0.5598947398,1000000,0,0,188,0,0,188,0.0001879646626,Compute,Memory stalls account for only 0% of cycles; the machine is limited by instruction issue.,Increase cpu.issue_width; Reduce the instruction count (vectorise the inner loop),0.0,0.0,0.00018796466264342303,0.0,0.0,0.9998120353373566
mlp,random_access,cpu.mshrs,1,/workspace/traces/random_access.trace,3.5,4,0,1,32,64,8,4,512,64,8,12,180,50,10000000,184217522,0.05428365278,18.4217522,0.05263357771,1000000,0,1000000,4075,995925,0.004075,0,0,995925,61021,934904,0.06127067801,0,0,934904,0,59833856,0,2,184.233822,1.0,1.136800092,0.02273600184,2500000,0,0,193,2,181717327,181717522,0.9864290868,Memory-level parallelism,Waiting for a free MSHR costs 98% of cycles: the misses are independent but too few can be in flight at once.,Increase cpu.mshrs; Reduce memory.latency_cycles to shorten MSHR occupancy; Improve locality so fewer misses need to be tracked,0.0,0.0,1.0476744986288546e-06,1.0856730555739426e-08,0.9864280282740965,0.013570913194674282
mlp,random_access,cpu.mshrs,2,/workspace/traces/random_access.trace,3.5,4,0,2,32,64,8,4,512,64,8,12,180,50,10000000,92136978,0.1085340568,9.2136978,0.02632485086,1000000,0,1000000,4075,995925,0.004075,0,0,995925,61021,934904,0.06127067801,0,0,934904,0,59833856,0,28303,184.262123,1.999694661,2.272903893,0.04545807786,2500000,0,0,193,26607,89610178,89636978,0.9728664858,Memory-level parallelism,Waiting for a free MSHR costs 97% of cycles: the misses are independent but too few can be in flight at once.,Increase cpu.mshrs; Reduce memory.latency_cycles to shorten MSHR occupancy; Improve locality so fewer misses need to be tracked,0.0,0.0,2.0947072954791288e-06,0.00028877656482286624,0.9725756145377374,0.02713351419014416
mlp,random_access,cpu.mshrs,4,/workspace/traces/random_access.trace,3.5,4,0,4,32,64,8,4,512,64,8,12,180,50,10000000,46076740,0.217029243,4.607674,0.01316478286,1000000,0,1000000,4075,995925,0.004075,0,0,995925,61021,934904,0.06127067801,0,0,934904,0,59833856,0,71170,184.30499,3.999603488,4.544993765,0.09089987529,2500000,0,0,193,22787,43553760,43576740,0.9457426893,Memory-level parallelism,Waiting for a free MSHR costs 94% of cycles: the misses are independent but too few can be in flight at once.,Increase cpu.mshrs; Reduce memory.latency_cycles to shorten MSHR occupancy; Improve locality so fewer misses need to be tracked,0.0,0.0,4.188664389017105e-06,0.0004945445359198589,0.9452439560611275,0.05425731073856353
